1	를/을/ㄹ	1	reul/eul/l	p.case	OBJECT MARKER	아이들은 가게에서 아이스크림을 먹었어요.	The children had ice cream at the shop.	67583 | 0.95
2	가/이	1	ga/i	p.case	SUBJECT MARKER	오랜만에 우리가 영화를 같이 봤군요.	It’s been a while since we’ve seen a movie together.	59290 | 0.86
3	는/은/ㄴ		neun/eun/n	p.sub.	TOPIC MARKER	저는 나중에 변호사가 되고 싶습니다.	As for me, I would like to become a lawyer someday.	48881 | 0.95
4	ㄴ/은		n/eun	e.r.	RELATIVE, ADJECTIVAL PRESENT; VERBAL PAST	저기 다른 사람들보다 키가 큰 여자 보이세요?	Do you see the woman who is taller than the others?	44313 | 0.97
5	아/어/야/여/애	1	a/eo/ya/yeo/ae	e.	CONNECTIVE, ADVERBIAL	이 책을 읽어 보세요.	Try to read this book.	42540 | 0.87
6	았/었/였		at/eot/yeot	s.	PAST TENSE	약속에 좀 늦었다.	We were late for an appointment.	41889 | 0.93
7	이다		ida	c.	COPULA, be	언니도 학생입니다.	My sister is also a student.	41409 | 0.87
8	에	1	e	p.case	LOCATION	서연이는 아침 일찍 학교에 갔다.	Seoyeon went to school early in the morning.	35244 | 0.92
9	고	1	go	e.	CONNECTIVE, ADVERBIAL	저는 먼저 이를 닦고 샤워합니다.	I first brush my teeth and then take a shower.	33011 | 0.87
10	의	1	ui	p.case	POSSESSIVE	친구의 이름이 뭐예요?	What’s your friend’s name?	32439 | 0.98
11	다	1	da	e.	FINAL, STATEMENT	마당에 꽃이 참 많다.	There are s. many flowers in the garden.	28750 | 0.96
12	는		neun	e.r.	RELATIVE, PRESENT	저기서 밥을 먹는 사람이 민준이예요.	The person who is eating over there is Minjun.	26943 | 0.93
13	것		geot	n.b.	thing, way	민준이가 찾는 것이 뭡니까?	What is the thing that Minjun is looking for?	22071 | 0.86
14	하다	1	hada	v.	do	어머니가 피아노 공연을 하고 계세요.	My mother is doing a piano recital.	20576 | 0.73
15	로/으로		ro/euro	p.case	DIRECTION; INSTRUMENT; STATUS	교실로 가려면 이쪽으로 가세요.	If you want to get to class, go this way.	20353 | 0.96
